45,Marcos Giron,68.800003,52.700001,76.300003,27.900000,46.000000,17.600000,37.599998,55.000000,42.099998,53.299999
46,Daniel Evans,71.099998,50.000000,77.300003,30.299999,51.200001,24.000000,42.099998,61.400002,40.000000,27.299999
47,Filip Krajinovic,68.500000,51.200001,76.599998,26.500000,49.400002,19.000000,42.000000,59.500000,50.000000,33.299999
48,Emil Ruusuvuori,69.599998,49.799999,76.500000,30.000000,52.099998,23.100000,39.299999,58.799999,61.099998,46.700001
49,Soonwoo Kwon,70.900002,50.700001,77.599998,27.299999,50.799999,20.000000,39.400002,58.299999,58.299999,58.299999
50,Albert Ramos-Vinolas,66.900002,51.599998,75.500000,28.299999,50.099998,21.100000,40.000000,64.199997,35.000000,30.799999
51,Richard Gasquet,71.300003,50.700001,78.000000,28.700001,51.099998,22.799999,40.200001,60.299999,50.000000,53.799999
52,Alejandro Davidovich Fokina,65.800003,51.900002,74.699997,32.000000,51.200001,27.700001,41.900002,57.599998,36.799999,58.799999
53,Alex Molcan,67.300003,52.500000,75.199997,28.900000,51.599998,23.200001,40.500000,58.500000,58.799999,33.299999
54,Dusan Lajovic,65.900002,50.700001,73.599998,29.700001,49.799999,21.100000,35.799999,58.200001,58.299999,58.299999
55,Botic Van De Zandschulp,70.400002,46.299999,75.300003,31.900000,49.700001,24.500000,40.799999,61.799999,68.199997,53.799999
56,Alex De Minaur,69.699997,50.799999,77.599998,33.700001,53.000000,29.400000,43.299999,61.299999,52.599998,70.599998
57,Mikael Ymer,63.500000,50.299999,71.400002,34.900002,51.000000,29.299999,41.599998,54.400002,30.799999,42.899998
58,Francisco Cerundolo,67.000000,49.400002,74.800003,32.900002,51.099998,26.000000,39.799999,61.700001,57.099998,50.000000
59,David Goffin,70.099998,49.099998,74.199997,32.299999,49.799999,25.900000,40.299999,60.099998,44.400002,44.400002
60,Aslan Karatsev,69.400002,48.599998,74.300003,29.500000,47.799999,20.400000,42.400002,56.900002,44.400002,37.500000
61,Cristian Garin,66.599998,48.500000,71.900002,31.200001,48.200001,24.200001,37.900002,59.200001,45.500000,50.000000
62,Pedro Martinez,63.700001,50.200001,70.599998,28.799999,51.299999,21.900000,36.000000,59.099998,38.900002,36.399998
63,Joao Sousa,67.199997,47.200001,71.500000,29.900000,48.200001,19.799999,34.599998,56.000000,26.700001,20.000000
64,Federico Coria,63.099998,48.900002,67.800003,34.099998,50.799999,28.299999,43.599998,52.500000,22.200001,36.399998
65,Jaume Munar,66.900002,44.599998,69.300003,33.799999,47.700001,25.400000,41.500000,54.700001,33.299999,36.399998
66,Bernabe Zapata Miralles,63.500000,48.000000,67.900002,34.200001,52.299999,31.000000,47.799999,52.799999,10.000000,53.799999
67,Diego Schwartzman,61.799999,47.700001,67.500000,33.200001,52.400002,27.700001,41.799999,58.700001,36.799999,22.200001
